context,legacy_component,target_go_service,capabilities,frontend_dependencies,owner,status,notes
punters,ActorPuntersBoundedContext,punter-service,"registration, profile, limits, cool-off, self-exclusion, auth-linked state","sportsbook, talon",Codex,todo,"high coupling with auth, wallet, and reports"
wallets,ActorWalletsBoundedContext,wallet-service,"balances, transactions, responsibility checks, credits/debits","sportsbook, talon",Codex,todo,"ledger invariants are critical"
bets,ActorBetsBoundedContext,bet-service,"bet placement, bet status/history, bet lifecycle actions","sportsbook, talon",Codex,todo,"depends on markets + wallets + punters"
markets,ActorMarketsBoundedContext,market-service,"sports, fixtures, markets, trading lifecycle","sportsbook, talon",Codex,todo,"drives user-facing odds/navigation"
backoffice,ActorBackofficeBoundedContext,backoffice-service,"admin operations, reports triggers, operational controls","talon",Codex,todo,"mountpoint /admin and /admin/trading"
payments,PaymentsModule,payments-service,"deposit/withdrawal orchestration, transaction state, provider callbacks","sportsbook, talon",Codex,todo,"external provider integrations"
geocomply,GeoComplyModule,geo-service,"license key and geo-packet evaluation","sportsbook",Codex,todo,"compliance-critical for wagering eligibility"
audit_log,AuditLogModule,backoffice-service,"audit trail for admin actions","talon",Codex,todo,"must be immutable and queryable"
notes,NoteModule,backoffice-service,"backoffice notes and annotation flows","talon",Codex,todo,"operational and compliance support"
prediction_bot_auth,BotAuthBoundedContext,prediction-auth-service,"bot api key issuance and scopes","talon/internal",Codex,todo,"currently exposed under /v1/bot/keys"
realtime_websocket,WebSocketServer,realtime-gateway,"websocket session, channel subscriptions, push updates","sportsbook",Codex,todo,"route /web-socket"
supplier_ingestion,OddinModule/BetgeniusModule,ingestion-service,"provider feed ingestion and publication","none direct",Codex,todo,"needs explicit isolation and replay safety"
reports,ProductionReportsModule,reporting-service,"scheduled daily reports and exports","talon",Codex,todo,"depends on punter and wallet datasets"
